replica,cpu,cpu_usage,memory_usage,num_request,previous_tps,expected_tps,response_time,avg_num_request,avg_cpu_usage,avg_response_time
1,9,0.228,0.725,40.13,40.0,40,15.19,40.080740740740744,0.26403703703703707,18.46851851851852
1,9,0.247,0.684,40.0,40.0,40,16.11,40.080740740740744,0.26403703703703707,18.46851851851852
1,7,0.246,0.705,40.13,40.0,40,14.51,40.071290322580644,0.28380645161290324,19.783870967741933
2,7,0.1565,0.7484999999999999,40.13,40.0,40,18.74,40.117826086956526,0.17710869565217388,19.533478260869565
3,8,0.102,0.7593333333333333,32.0,40.0,32,17.53,32.03857142857143,0.11823809523809521,19.702142857142857
2,5,0.124,0.8255,32.0,32.0,32,15.62,32.075,0.16234375,23.2375
1,6,0.363,0.852,65.67,32.0,64,27.79,64.19416666666666,0.43166666666666664,29.91333333333333
1,8,0.298,0.796,48.13,64.0,48,15.08,48.17777777777778,0.2982222222222222,19.01111111111111
2,9,0.1535,0.761,40.33,48.0,40,16.76,40.1192,0.16872,18.2656
1,4,0.285,0.764,48.4,40.0,48,33.56,47.086470588235294,0.3438823529411765,59.26058823529412
3,7,0.1353333333333333,0.6946666666666667,48.07,48.0,48,16.75,48.093,0.16006666666666663,20.179
1,7,0.335,0.749,57.07,48.0,56,20.96,56.30235294117647,0.38352941176470584,23.72
1,5,0.416,0.845,71.93,56.0,72,57.29,70.46684210526317,0.4577894736842105,66.16736842105263
3,6,0.193,0.7333333333333334,64.47,72.0,64,18.24,64.23333333333333,0.21138888888888885,20.885
3,9,0.1733333333333333,0.7356666666666666,72.0,64.0,72,17.1,72.223,0.19539999999999996,18.7065
2,9,0.2845,0.716,87.93,72.0,88,16.61,88.29,0.32699999999999996,19.3775
3,9,0.1506666666666667,0.741,56.0,88.0,56,17.44,56.08571428571429,0.16090476190476188,17.837142857142858
2,9,0.183,0.6825,48.13,56.0,48,16.4,48.10875,0.19043749999999998,18.765
3,5,0.175,0.79,56.6,48.0,56,20.2,56.31923076923077,0.19315384615384612,26.47307692307692
2,9,0.223,0.7184999999999999,64.13,56.0,64,17.27,64.14,0.24365,18.853
3,9,0.1743333333333333,0.684,72.0,64.0,72,17.41,72.223,0.19539999999999996,18.7065
1,5,0.498,0.801,80.8,72.0,96,147.36,75.99846153846154,0.4989615384615385,161.2923076923077
3,6,0.2403333333333333,0.8333333333333334,96.2,96.0,96,20.29,96.21368421052631,0.2639473684210526,22.31421052631579
3,6,0.2903333333333333,0.7206666666666667,120.07,96.0,120,20.6,120.4,0.30293333333333333,22.387999999999998
3,7,0.1863333333333333,0.747,72.33,120.0,72,17.54,72.19631578947369,0.2074912280701754,19.92684210526316
1,8,0.496,0.785,88.13,72.0,88,20.24,88.19857142857143,0.5188571428571429,22.13
1,6,0.439,0.768,72.2,88.0,72,20.73,71.79588235294118,0.4768823529411764,35.38764705882353
1,6,0.425,0.781,80.0,72.0,80,17.43,79.78375,0.51575,43.57125
1,7,0.375,0.761,64.2,80.0,64,16.07,64.226,0.4248,21.715333333333334
2,5,0.2515,0.774,64.07,64.0,64,22.01,64.31428571428572,0.27185714285714285,29.435714285714287
3,7,0.1993333333333333,0.7503333333333333,72.0,64.0,72,17.47,72.19631578947369,0.2074912280701754,19.92684210526316
1,8,0.436,0.759,72.4,72.0,72,28.44,72.2,0.4430625,23.288125
1,6,0.444,0.793,72.93,72.0,72,27.91,71.79588235294118,0.4768823529411764,35.38764705882353
1,6,0.47,0.71,80.33,72.0,80,31.61,79.78375,0.51575,43.57125
3,8,0.2126666666666666,0.731,88.0,80.0,88,20.81,88.234,0.23677777777777773,23.15266666666667
1,7,0.306,0.723,56.0,88.0,56,23.91,56.30235294117647,0.38352941176470584,23.72
1,9,0.339,0.726,56.13,56.0,56,15.97,56.233000000000004,0.3721,18.673
1,5,0.499,0.789,89.93,56.0,112,155.46,72.04,0.4986,220.69
3,7,0.211,0.7549999999999999,96.2,112.0,96,15.43,96.36421052631579,0.25140350877192974,19.527894736842104
3,5,0.3256666666666666,0.8436666666666666,105.13,96.0,104,36.12,101.97777777777777,0.3008333333333333,49.91333333333333
2,7,0.3775,0.8265,112.0,104.0,112,16.25,111.92285714285715,0.38771428571428573,22.565714285714286
1,9,0.764,0.753,144.27,112.0,144,28.63,143.135,0.8334999999999999,54.287
2,7,0.294,0.723,88.13,144.0,88,17.76,88.45454545454545,0.32086363636363635,21.36909090909091
1,8,0.377,0.737,64.0,88.0,64,17.22,64.12555555555555,0.42055555555555557,20.054444444444446
3,4,0.2873333333333333,0.7513333333333333,80.07,64.0,88,97.41,71.30055555555556,0.2648888888888889,133.88277777777776
2,4,0.28,0.77,72.07,88.0,72,39.92,49.18826086956521,0.2902608695652174,196.5530434782609
3,5,0.2353333333333333,0.7376666666666667,72.47,72.0,72,27.59,72.16882352941175,0.23339215686274506,25.056470588235292
2,4,0.3565,0.782,84.27,72.0,96,128.81,60.14740740740741,0.3173333333333333,246.12888888888887
3,8,0.223,0.7106666666666667,88.13,96.0,88,18.53,88.234,0.23677777777777773,23.15266666666667
1,9,0.554,0.789,96.2,88.0,96,21.33,96.27541666666667,0.5818333333333333,22.3025
2,8,0.3035,0.7515000000000001,96.4,96.0,96,16.44,96.3204,0.34456,19.3672
3,6,0.2343333333333333,0.7273333333333335,88.07,96.0,88,18.8,87.05714285714285,0.2470238095238095,29.481428571428573
2,4,0.3765,0.8555,88.33,88.0,104,131.22,57.21684210526316,0.3189473684210526,274.84999999999997
2,8,0.5095000000000001,0.7525,168.8,104.0,168,20.77,168.93333333333334,0.5276666666666667,22.353333333333335
3,8,0.355,0.7933333333333333,144.4,168.0,144,19.21,144.5,0.3350555555555555,18.701666666666664
2,6,0.1265,0.9195,23.93,144.0,24,18.95,24.054999999999996,0.128,20.218333333333334
3,5,0.1026666666666666,0.7666666666666666,24.0,24.0,24,20.37,24.007777777777775,0.11844444444444441,22.743333333333332
3,7,0.1103333333333333,0.7216666666666667,32.0,24.0,32,16.42,32.056315789473686,0.12242105263157893,19.780526315789473
1,7,0.219,0.741,32.4,32.0,32,16.21,32.112307692307695,0.2353846153846154,19.65230769230769
2,9,0.1675,0.71,40.13,32.0,40,18.03,40.1192,0.16872,18.2656
1,5,0.227,0.707,32.0,40.0,32,27.58,32.081538461538464,0.2426923076923077,25.483076923076922
2,7,0.145,0.766,32.13,32.0,32,20.89,32.06391304347826,0.1603478260869565,19.895217391304346
3,7,0.1063333333333333,0.7026666666666667,24.4,32.0,24,18.8,24.11625,0.11183333333333328,21.715
3,8,0.1313333333333333,0.6906666666666667,40.0,24.0,40,17.29,40.06142857142857,0.13935714285714282,19.598214285714285
1,9,0.234,0.752,40.13,40.0,40,14.96,40.080740740740744,0.26403703703703707,18.46851851851852
3,7,0.1226666666666666,0.73,40.13,40.0,40,18.96,40.141666666666666,0.14252777777777775,19.569166666666668
3,7,0.133,0.7060000000000001,40.0,40.0,40,17.01,40.141666666666666,0.14252777777777775,19.569166666666668
2,8,0.1815,0.7224999999999999,48.0,40.0,48,18.57,48.154375,0.19103124999999999,18.940625
2,9,0.1585,0.7345,40.33,48.0,40,20.71,40.1192,0.16872,18.2656
1,8,0.206,0.676,32.0,40.0,32,16.13,32.079047619047614,0.23514285714285713,19.116190476190475
2,8,0.107,0.7010000000000001,24.0,32.0,24,16.86,24.048181818181817,0.12072727272727271,19.10363636363636
2,7,0.2095,0.6805,56.13,24.0,56,17.52,56.11625,0.2160625,19.09625
1,9,0.308,0.811,48.0,56.0,48,17.61,48.1275,0.3154166666666667,17.876666666666665
3,4,0.1606666666666666,0.866,40.0,48.0,40,26.24,40.07392857142857,0.1712738095238095,33.20178571428571
1,5,0.339,0.806,41.27,40.0,40,31.62,40.18206896551724,0.30489655172413793,28.25448275862069
1,7,0.248,0.727,40.07,40.0,40,16.17,40.071290322580644,0.28380645161290324,19.783870967741933
3,9,0.1176666666666666,0.703,32.2,40.0,32,18.76,32.102000000000004,0.11864444444444439,19.043333333333333
2,4,0.1745,0.8165,31.73,32.0,32,35.38,29.94695652173913,0.20630434782608695,62.20260869565218
2,4,0.1694999999999999,0.827,40.0,32.0,40,32.38,34.1975,0.21824999999999997,97.10625
1,5,0.273,0.816,40.27,40.0,40,26.81,40.18206896551724,0.30489655172413793,28.25448275862069
3,5,0.1573333333333333,0.7526666666666667,40.13,40.0,40,20.76,40.12413793103448,0.15990804597701147,23.852068965517244
3,4,0.1526666666666666,0.7586666666666667,40.0,40.0,40,20.87,40.07392857142857,0.1712738095238095,33.20178571428571
1,8,0.246,0.699,40.07,40.0,40,18.94,40.112142857142864,0.2741071428571428,18.946428571428573
1,9,0.223,0.745,32.0,40.0,32,15.19,32.128125000000004,0.2340625,17.8575
3,8,0.13,0.754,32.13,32.0,32,22.69,32.03857142857143,0.11823809523809521,19.702142857142857
1,8,0.379,0.768,64.13,32.0,64,15.68,64.12555555555555,0.42055555555555557,20.054444444444446
2,5,0.211,0.779,48.0,64.0,48,19.19,48.142,0.23326666666666665,27.346
1,8,0.234,0.734,40.0,48.0,40,17.95,40.112142857142864,0.2741071428571428,18.946428571428573
2,5,0.2015,0.7789999999999999,48.67,40.0,48,31.46,48.142,0.23326666666666665,27.346
1,4,0.368,0.796,47.0,48.0,48,55.58,47.086470588235294,0.3438823529411765,59.26058823529412
1,9,0.356,0.696,56.0,48.0,56,17.07,56.233000000000004,0.3721,18.673
1,4,0.397,0.821,63.73,56.0,72,139.3,49.572,0.399,219.006
2,7,0.2355,0.8145,64.47,72.0,64,17.82,64.368,0.2562,21.163999999999998
2,4,0.286,0.935,71.67,64.0,72,45.54,49.18826086956521,0.2902608695652174,196.5530434782609
2,6,0.311,0.8049999999999999,88.2,72.0,88,21.49,88.29692307692306,0.3309230769230769,23.38076923076923
2,9,0.1995,0.7415,56.07,88.0,56,20.0,56.19,0.21024999999999996,18.49
1,5,0.289,0.755,48.4,56.0,48,41.93,48.16307692307692,0.31769230769230766,27.462307692307693
2,7,0.1995,0.6865,56.07,48.0,56,16.81,56.11625,0.2160625,19.09625
3,9,0.168,0.7176666666666667,64.33,56.0,64,21.46,64.28714285714285,0.17933333333333332,18.298571428571428
2,8,0.2545,0.7264999999999999,72.4,64.0,72,17.58,72.2204,0.26502,18.1888
1,4,0.398,0.747,56.13,72.0,96,215.13,53.75523809523809,0.3990000000000001,226.77761904761905
3,8,0.2446666666666666,0.7136666666666667,96.2,96.0,96,20.05,96.32333333333334,0.2502222222222222,19.717407407407407
1,8,0.713,0.731,123.13,96.0,120,52.12,121.565,0.713,42.985
2,5,0.2405,0.8,72.07,120.0,72,20.94,70.85833333333333,0.30319444444444443,48.885
2,8,0.3055,0.742,88.27,72.0,88,16.41,88.33846153846154,0.3142307692307692,18.66769230769231
1,6,0.46,0.718,72.13,88.0,72,22.07,71.79588235294118,0.4768823529411764,35.38764705882353
2,5,0.288,0.8725,80.33,72.0,80,27.42,79.21444444444444,0.3123888888888888,38.30722222222222
2,8,0.2194999999999999,0.7464999999999999,64.0,80.0,64,16.35,64.13818181818182,0.23136363636363635,18.731818181818184
3,7,0.1693333333333333,0.8336666666666668,64.0,64.0,64,18.34,64.26214285714285,0.1887380952380952,19.49857142857143
1,7,0.455,0.928,72.27,64.0,72,19.15,72.342,0.4466,21.770666666666667
1,5,0.449,0.855,72.2,72.0,72,53.69,70.46684210526317,0.4577894736842105,66.16736842105263
1,8,0.411,0.681,72.33,72.0,72,24.14,72.2,0.4430625,23.288125
2,4,0.3065,0.823,80.07,72.0,80,50.88,45.45166666666666,0.2866666666666667,255.3225
1,5,0.499,0.881,81.13,80.0,88,127.54,70.71428571428571,0.49942857142857144,158.9114285714286
2,8,0.22,0.8095,56.13,88.0,56,20.2,56.182500000000005,0.23131249999999998,19.439375000000002
3,9,0.1593333333333333,0.7000000000000001,56.2,56.0,56,16.75,56.08571428571429,0.16090476190476188,17.837142857142858
2,7,0.3765,0.7805,111.27,56.0,112,21.38,111.92285714285715,0.38771428571428573,22.565714285714286
1,8,0.56,0.706,105.27,112.0,104,25.39,104.40736842105264,0.6416842105263157,33.007894736842104
3,8,0.2686666666666666,0.7573333333333334,112.13,104.0,112,18.08,112.51199999999999,0.27806666666666663,18.762
3,6,0.3663333333333333,0.8146666666666667,144.2,112.0,144,28.91,144.19,0.37980952380952376,28.47714285714286
1,4,0.4,0.901,46.8,144.0,88,237.29,55.56666666666666,0.3995,200.41333333333333
1,7,0.388,0.818,64.27,88.0,64,17.05,64.226,0.4248,21.715333333333334
1,7,0.47,0.803,88.0,64.0,88,27.27,88.25307692307692,0.5328461538461539,27.556153846153848
1,5,0.414,0.885,72.13,88.0,72,24.32,70.46684210526317,0.4577894736842105,66.16736842105263
3,8,0.1889999999999999,0.7383333333333333,72.0,72.0,72,18.37,72.18157894736842,0.1985087719298245,19.602631578947367
2,9,0.309,0.735,96.0,72.0,96,20.09,96.40227272727272,0.3372272727272727,19.52090909090909
2,8,0.297,0.7695,88.47,96.0,88,17.41,88.33846153846154,0.3142307692307692,18.66769230769231
1,5,0.498,0.744,75.2,88.0,96,158.53,75.99846153846154,0.4989615384615385,161.2923076923077
2,8,0.3,0.724,97.2,96.0,96,18.76,96.3204,0.34456,19.3672
1,5,0.499,0.814,83.47,96.0,96,142.25,75.99846153846154,0.4989615384615385,161.2923076923077
2,4,0.3485,0.896,88.2,96.0,88,71.65,52.64,0.3009,254.00100000000003
2,9,0.3265,0.7350000000000001,104.07,88.0,104,17.75,104.42357142857144,0.36214285714285716,19.137857142857143
1,4,0.398,0.739,35.73,104.0,168,592.16,30.31,0.39799999999999996,779.8933333333334
3,8,0.3203333333333333,0.781,144.4,168.0,144,17.71,144.5,0.3350555555555555,18.701666666666664
2,8,0.4455,0.728,153.53,144.0,152,20.36,153.265,0.44225000000000003,18.11
2,5,0.447,0.8440000000000001,137.53,152.0,144,83.69,96.465,0.408375,209.96875
2,9,0.338,0.7464999999999999,104.6,144.0,104,18.5,104.42357142857144,0.36214285714285716,19.137857142857143
3,5,0.2669999999999999,0.7463333333333333,104.47,104.0,104,23.33,101.97777777777777,0.3008333333333333,49.91333333333333
3,7,0.2033333333333333,0.7933333333333333,80.33,104.0,80,19.09,80.25454545454545,0.21918181818181814,19.017272727272726
1,9,0.573,0.771,104.73,80.0,104,21.31,104.35571428571427,0.6153333333333334,24.33047619047619
2,8,0.308,0.747,96.47,104.0,96,16.84,96.3204,0.34456,19.3672
1,6,0.563,0.789,96.07,96.0,96,41.69,92.68607142857142,0.5730000000000001,73.23464285714286
2,9,0.3065,0.7095,96.13,96.0,96,16.98,96.40227272727272,0.3372272727272727,19.52090909090909
1,8,0.532,0.75,96.0,96.0,96,20.3,96.33125,0.5900625,30.680625
3,4,0.253,0.8146666666666667,79.53,96.0,80,59.8,77.10230769230769,0.2662564102564102,71.27846153846154
1,6,0.577,0.802,79.07,80.0,80,52.32,79.78375,0.51575,43.57125
1,6,0.576,0.793,99.4,80.0,104,92.86,93.95666666666666,0.5901333333333334,121.46866666666666
1,7,0.687,0.75,116.47,104.0,120,104.09,116.91333333333334,0.6926666666666667,100.67666666666666
2,5,0.486,0.7525,139.93,120.0,144,106.34,96.465,0.408375,209.96875
1,7,0.702,0.837,114.73,144.0,152,165.24,121.2825,0.69975,156.32999999999998
1,9,0.795,0.805,161.0,152.0,160,50.04,161.0,0.795,50.04
1,6,0.598,0.726,95.0,160.0,104,128.19,93.95666666666666,0.5901333333333334,121.46866666666666
3,5,0.2593333333333333,0.7989999999999999,79.53,104.0,80,33.39,79.64214285714286,0.25371428571428567,32.645714285714284
2,9,0.3635,0.7344999999999999,112.07,80.0,112,18.17,112.50874999999999,0.38299999999999995,19.3775
3,8,0.2533333333333333,0.7116666666666666,96.0,112.0,96,18.23,96.32333333333334,0.2502222222222222,19.717407407407407
3,6,0.258,0.7613333333333333,95.87,96.0,96,19.03,96.21368421052631,0.2639473684210526,22.31421052631579
2,8,0.345,0.7865,96.47,96.0,96,19.65,96.3204,0.34456,19.3672
1,5,0.499,0.786,73.0,96.0,96,164.5,75.99846153846154,0.4989615384615385,161.2923076923077
2,5,0.301,0.7905,80.13,96.0,80,22.2,79.21444444444444,0.3123888888888888,38.30722222222222
2,9,0.249,0.774,72.13,80.0,72,17.09,72.179,0.25525,18.206
2,7,0.3525,0.7885,104.0,72.0,104,20.78,104.12272727272726,0.3624090909090909,21.257272727272724
1,5,0.501,0.892,73.93,104.0,104,176.14,74.275,0.4989375,179.840625
2,8,0.3045,0.7435,104.07,104.0,104,17.47,104.4935,0.372,21.1625
2,9,0.3655,0.7915000000000001,104.8,104.0,104,18.36,104.42357142857144,0.36214285714285716,19.137857142857143
1,4,0.399,0.84,51.33,104.0,96,235.19,53.75523809523809,0.3990000000000001,226.77761904761905
3,7,0.2143333333333333,0.759,80.47,96.0,80,19.21,80.25454545454545,0.21918181818181814,19.017272727272726
2,8,0.2555,0.742,72.13,80.0,72,17.42,72.2204,0.26502,18.1888
3,8,0.077,0.735,24.13,72.0,24,16.07,24.0275,0.10591666666666662,19.150833333333335
3,6,0.1106666666666666,0.7833333333333333,24.0,24.0,24,18.75,24.0,0.10653333333333329,19.968
1,5,0.211,0.759,32.0,24.0,32,21.55,32.081538461538464,0.2426923076923077,25.483076923076922
3,8,0.1146666666666666,0.7046666666666667,32.0,32.0,32,19.04,32.03857142857143,0.11823809523809521,19.702142857142857
1,8,0.253,0.718,40.0,32.0,40,17.75,40.112142857142864,0.2741071428571428,18.946428571428573
3,5,0.1403333333333333,0.827,32.0,40.0,32,18.32,32.060833333333335,0.13652777777777778,22.3025
2,7,0.134,0.744,32.07,32.0,32,19.18,32.06391304347826,0.1603478260869565,19.895217391304346
1,8,0.173,0.744,24.0,32.0,24,15.42,24.083333333333332,0.19191666666666665,19.07
2,5,0.1624999999999999,0.7755000000000001,40.2,24.0,40,18.21,40.13125,0.18704166666666666,23.881249999999998
1,6,0.262,0.708,40.0,40.0,40,17.59,40.13272727272727,0.2704090909090909,22.521818181818183
2,8,0.1699999999999999,0.743,40.0,40.0,40,18.2,40.092800000000004,0.17959999999999998,19.0432
3,4,0.1393333333333333,0.8453333333333334,40.0,40.0,40,22.33,40.07392857142857,0.1712738095238095,33.20178571428571
2,5,0.2005,0.8445,48.13,40.0,48,17.51,48.142,0.23326666666666665,27.346
1,6,0.237,0.713,40.4,48.0,40,19.69,40.13272727272727,0.2704090909090909,22.521818181818183
2,4,0.145,0.883,32.27,40.0,32,22.19,29.94695652173913,0.20630434782608695,62.20260869565218
3,9,0.103,0.7436666666666666,24.07,32.0,24,17.11,24.124285714285715,0.0985238095238095,17.254285714285714
1,8,0.323,0.742,56.53,24.0,56,17.39,56.287,0.379,19.990000000000002
3,5,0.168,0.7853333333333333,48.27,56.0,48,22.78,48.32181818181818,0.17421212121212118,23.430000000000003
1,9,0.232,0.808,40.13,48.0,40,16.27,40.080740740740744,0.26403703703703707,18.46851851851852
3,9,0.1356666666666666,0.7206666666666667,40.0,40.0,40,17.59,40.0635,0.13534999999999997,18.827
1,6,0.26,0.791,40.27,40.0,40,19.4,40.13272727272727,0.2704090909090909,22.521818181818183
1,8,0.2,0.654,32.0,40.0,32,16.47,32.079047619047614,0.23514285714285713,19.116190476190475
3,9,0.1173333333333333,0.7156666666666666,32.13,32.0,32,19.41,32.102000000000004,0.11864444444444439,19.043333333333333
1,8,0.231,0.745,40.0,32.0,40,21.49,40.112142857142864,0.2741071428571428,18.946428571428573
2,5,0.18,0.877,40.13,40.0,40,18.91,40.13125,0.18704166666666666,23.881249999999998
1,9,0.256,0.745,40.0,40.0,40,15.88,40.080740740740744,0.26403703703703707,18.46851851851852
2,5,0.195,0.8069999999999999,40.13,40.0,40,19.89,40.13125,0.18704166666666666,23.881249999999998
1,4,0.305,0.899,40.0,40.0,40,41.52,38.99952380952381,0.29500000000000004,51.85666666666667
3,4,0.1403333333333333,0.908,32.07,40.0,32,31.09,32.08705882352941,0.14884313725490192,29.42705882352941
3,9,0.1086666666666666,0.721,32.0,32.0,32,17.43,32.102000000000004,0.11864444444444439,19.043333333333333
1,6,0.381,0.817,64.47,32.0,64,30.86,64.19416666666666,0.43166666666666664,29.91333333333333
1,9,0.316,0.675,48.2,64.0,48,16.06,48.1275,0.3154166666666667,17.876666666666665
1,7,0.272,0.825,40.0,48.0,40,19.46,40.071290322580644,0.28380645161290324,19.783870967741933
3,6,0.1496666666666666,0.7493333333333333,48.2,40.0,48,17.2,48.127272727272725,0.16603030303030297,20.85363636363636
1,4,0.332,0.81,48.33,48.0,48,47.91,47.086470588235294,0.3438823529411765,59.26058823529412
2,8,0.217,0.6865,56.0,48.0,56,18.53,56.182500000000005,0.23131249999999998,19.439375000000002
1,5,0.46,0.822,69.87,56.0,72,85.5,70.46684210526317,0.4577894736842105,66.16736842105263
1,6,0.448,0.745,64.67,72.0,64,40.24,64.19416666666666,0.43166666666666664,29.91333333333333
1,6,0.449,0.93,72.13,64.0,72,31.54,71.79588235294118,0.4768823529411764,35.38764705882353
1,6,0.499,0.946,88.27,72.0,88,25.18,86.58818181818182,0.5542727272727273,61.11000000000001
2,4,0.27,0.7715000000000001,55.53,88.0,56,38.43,42.825,0.2655,135.4925
2,9,0.1775,0.6950000000000001,48.2,56.0,48,17.8,48.10875,0.19043749999999998,18.765
2,7,0.192,0.776,56.13,48.0,56,16.69,56.11625,0.2160625,19.09625
1,5,0.423,0.842,64.87,56.0,64,35.8,61.472727272727276,0.4308181818181818,62.346363636363634
3,6,0.215,0.761,72.2,64.0,72,25.92,72.11111111111111,0.22394444444444442,22.633333333333333
2,5,0.3445,0.8645,96.07,72.0,96,36.53,83.11526315789474,0.3562631578947368,99.03473684210526
2,6,0.3155,0.7769999999999999,96.87,96.0,96,21.55,96.337,0.36174999999999996,28.4865
1,9,0.658,0.757,121.4,96.0,120,23.3,120.535,0.69925,25.5375
2,5,0.27,0.7955,72.53,120.0,72,22.2,70.85833333333333,0.30319444444444443,48.885
2,7,0.312,0.783,88.33,72.0,88,21.52,88.45454545454545,0.32086363636363635,21.36909090909091
1,7,0.416,0.707,72.8,88.0,72,23.5,72.342,0.4466,21.770666666666667
3,4,0.244,0.8766666666666666,81.13,72.0,80,62.82,77.10230769230769,0.2662564102564102,71.27846153846154
2,8,0.231,0.7185,64.13,80.0,64,16.53,64.13818181818182,0.23136363636363635,18.731818181818184
2,9,0.213,0.7725,64.07,64.0,64,16.14,64.14,0.24365,18.853
2,4,0.3,0.88,71.07,64.0,72,43.79,49.18826086956521,0.2902608695652174,196.5530434782609
2,8,0.2345,0.7575000000000001,72.2,72.0,72,17.31,72.2204,0.26502,18.1888
1,9,0.409,0.761,72.2,72.0,72,18.6,72.30055555555556,0.4400555555555556,20.52722222222222
1,9,0.457,0.722,80.47,72.0,80,18.64,80.28933333333333,0.4944,21.041333333333334
3,6,0.249,0.762,88.2,80.0,88,22.57,87.05714285714285,0.2470238095238095,29.481428571428573
2,6,0.192,0.83,56.27,88.0,56,17.45,56.163333333333334,0.2338333333333333,20.21777777777778
1,8,0.342,0.745,56.2,56.0,56,18.39,56.287,0.379,19.990000000000002
2,5,0.399,0.8089999999999999,112.13,56.0,112,35.92,78.33333333333333,0.3805,172.39333333333335
1,6,0.529,0.857,96.93,112.0,96,24.75,92.68607142857142,0.5730000000000001,73.23464285714286
2,9,0.324,0.7395,104.93,96.0,104,17.75,104.42357142857144,0.36214285714285716,19.137857142857143
2,9,0.3745,0.694,112.33,104.0,112,18.82,112.50874999999999,0.38299999999999995,19.3775
3,8,0.33,0.7963333333333334,144.47,112.0,144,18.77,144.5,0.3350555555555555,18.701666666666664
3,6,0.2206666666666666,0.7353333333333335,88.13,144.0,88,16.92,87.05714285714285,0.2470238095238095,29.481428571428573
2,4,0.263,0.8614999999999999,64.2,88.0,64,29.07,49.0,0.2633636363636364,155.8709090909091
3,4,0.244,0.7749999999999999,80.27,64.0,88,90.28,71.30055555555556,0.2648888888888889,133.88277777777776
2,8,0.267,0.764,72.6,88.0,72,19.03,72.2204,0.26502,18.1888
1,4,0.4,0.764,62.0,72.0,72,139.88,49.572,0.399,219.006
2,7,0.32,0.7645,96.4,72.0,96,17.19,96.375,0.34953125,20.505625
3,7,0.24,0.7283333333333334,89.2,96.0,88,20.93,88.49833333333333,0.23805555555555555,19.726666666666667
3,5,0.258,0.761,95.87,88.0,96,25.63,95.4084,0.2987066666666667,42.607600000000005
2,5,0.3269999999999999,0.763,96.53,96.0,96,27.7,83.11526315789474,0.3562631578947368,99.03473684210526
3,9,0.246,0.7536666666666667,96.47,96.0,96,18.27,96.35,0.24694999999999995,18.7195
1,8,0.545,0.761,88.33,96.0,88,22.09,88.19857142857143,0.5188571428571429,22.13
3,6,0.258,0.766,104.07,88.0,104,19.77,104.24785714285714,0.2854047619047619,23.93357142857143
3,6,0.3983333333333334,0.751,169.67,104.0,168,23.39,162.56,0.41500000000000004,56.086
1,5,0.499,0.841,56.53,168.0,144,318.3,74.19125,0.49924999999999997,246.41375
3,9,0.3673333333333333,0.7583333333333333,153.6,144.0,152,20.63,152.84333333333333,0.3693333333333333,20.05333333333333
1,6,0.6,0.797,88.33,152.0,144,204.41,88.13285714285715,0.5998571428571429,211.18285714285713
