replica,cpu,cpu_usage,num_request,previous_tps,expected_tps,response_time,reward
1,7,0.697,120.53,144.0,120.0,29.82,-0.6835003533668866
1,4,0.398,51.6,120.0,96.0,234.24,-1.2367194059841977
3,4,0.2236666666666666,51.47,96.0,72.0,166.39,-1.6418356209911682
1,5,0.302,48.2,72.0,48.0,26.51,-0.7679010710814338
1,8,0.166,24.33,48.0,24.0,16.72,-1.0852276354523491
2,4,0.2645,27.73,24.0,48.0,212.41,-1.4608835619872667
1,5,0.457,71.53,48.0,72.0,35.42,-1.0517019158406162
3,6,0.2683333333333333,96.27,72.0,96.0,20.75,-1.214261126269698
1,4,0.4,45.73,96.0,120.0,326.85,-1.0427663650166832
3,8,0.3413333333333333,144.73,120.0,144.0,19.83,-1.2984617914116616
2,8,0.3475,120.13,144.0,120.0,16.45,-1.0804626813792018
3,5,0.308,96.07,120.0,96.0,38.09,-1.106240274012423
3,4,0.2416666666666667,66.4,96.0,72.0,113.55,-1.5216959441136912
3,5,0.1743333333333333,48.07,72.0,48.0,18.93,-1.2412256175815908
1,4,0.235,24.4,48.0,24.0,24.73,-0.7531768626923019
1,5,0.297,48.53,24.0,48.0,24.58,-0.7723810415534229
1,5,0.422,72.0,48.0,72.0,22.92,-0.6727881367429778
1,8,0.575,94.73,72.0,96.0,40.22,-1.225316276611928
2,6,0.4669999999999999,102.8,96.0,120.0,133.29,-1.3150189239988777
3,6,0.3496666666666666,144.07,120.0,144.0,21.73,-1.1481607607448419
1,6,0.598,109.33,144.0,120.0,135.81,-1.0873801120429367
1,8,0.563,96.33,120.0,96.0,16.96,-0.8259959877660832
3,4,0.2733333333333334,69.13,96.0,72.0,76.35,-1.4716863045127129
2,5,0.2365,48.0,72.0,48.0,27.71,-0.9600374747306284
1,9,0.176,24.13,48.0,24.0,15.64,-1.1424644532736876
2,5,0.2875,46.4,24.0,48.0,46.55,-1.324319563407827
1,7,0.406,72.13,48.0,72.0,23.11,-0.838800346724641
2,5,0.355,43.93,72.0,96.0,277.85,-1.5408621140447967
2,8,0.472,120.27,96.0,120.0,22.78,-1.0043436825231284
2,6,0.5255,115.07,120.0,144.0,143.24,-1.3075905639032952
3,9,0.2773333333333334,120.4,144.0,120.0,19.13,-1.4147078544585265
1,5,0.5,81.27,120.0,96.0,145.97,-0.7884744770480727
2,9,0.284,72.0,96.0,72.0,18.17,-1.1963734508321053
3,6,0.1863333333333333,48.13,72.0,48.0,19.76,-1.2906213017912083
1,6,0.186,24.0,48.0,24.0,17.42,-0.9472971297370518
3,9,0.1376666666666666,48.2,24.0,48.0,16.75,-1.515301996000614
3,5,0.238,72.4,48.0,72.0,22.74,-1.1724274118513653
2,7,0.3765,96.4,72.0,96.0,19.68,-0.9881977548046106
2,8,0.4935,120.2,96.0,120.0,25.87,-0.9923567598735894
1,5,0.501,63.33,120.0,144.0,284.83,-1.0225549470357513
1,6,0.598,58.47,144.0,120.0,256.95,-1.3181349576403623
1,7,0.543,96.13,120.0,96.0,25.79,-0.7576404358470636
3,8,0.1949999999999999,72.2,96.0,72.0,16.61,-1.405292268735694
3,5,0.1753333333333333,48.07,72.0,48.0,23.87,-1.2400759097205403
2,4,0.2204999999999999,23.87,48.0,24.0,36.33,-1.3018228395268014
3,4,0.2266666666666666,47.47,24.0,48.0,71.01,-1.5108147203795936
1,6,0.492,72.6,48.0,72.0,43.78,-0.7083476787006702
3,5,0.323,96.33,72.0,96.0,33.71,-1.0932231974517927
3,5,0.29,121.0,96.0,120.0,21.4,-1.1223851081934164
2,4,0.3005,43.4,120.0,144.0,423.57,-1.6188536890925485
2,9,0.427,120.67,144.0,120.0,17.2,-1.1089919129175327
1,7,0.58,96.2,120.0,96.0,22.57,-0.7383116862498542
1,4,0.4,53.2,96.0,72.0,171.06,-0.8193487106810322
2,4,0.289,43.07,72.0,48.0,116.61,-1.2689592006180186
3,9,0.0996666666666666,24.13,48.0,24.0,18.33,-1.545482504374883
2,4,0.18,47.8,24.0,48.0,20.19,-1.351390437106762
3,7,0.2239999999999999,72.0,48.0,72.0,17.48,-1.3180315653999943
2,6,0.4,96.4,72.0,96.0,22.08,-0.8976104514299796
1,7,0.699,112.07,96.0,120.0,132.79,-1.1099669112011465
3,4,0.2883333333333333,85.8,120.0,144.0,206.18,-1.6394863051695294
1,7,0.7,110.47,144.0,120.0,132.96,-0.8152741581900156
3,5,0.355,96.6,120.0,96.0,47.47,-1.0667248879154676
3,8,0.1946666666666666,72.4,96.0,72.0,17.39,-1.4055586083068325
3,6,0.1613333333333333,48.07,72.0,48.0,18.88,-1.3160550957106143
1,5,0.17,24.0,48.0,24.0,17.24,-0.9025779761366264
1,4,0.4,46.4,24.0,48.0,93.03,-0.7135579075527707
1,7,0.514,72.4,48.0,72.0,26.04,-0.7735205791863538
2,4,0.311,35.27,72.0,96.0,345.19,-1.5575054994783604
3,7,0.295,120.2,96.0,120.0,20.42,-1.2609148764003277
2,9,0.511,143.73,120.0,144.0,19.56,-1.4645263755173399
3,7,0.2976666666666667,120.47,144.0,120.0,17.22,-1.2588804810207468
2,8,0.3419999999999999,96.6,120.0,96.0,18.81,-1.0841063218406515
3,6,0.2223333333333333,72.07,96.0,72.0,20.87,-1.2558091610490156
3,7,0.158,48.13,72.0,48.0,16.73,-1.376580923078696
3,4,0.1126666666666666,24.0,48.0,24.0,22.65,-1.258959967818126
3,8,0.1476666666666666,48.2,24.0,48.0,16.31,-1.4442456160458819
1,9,0.429,72.0,48.0,72.0,16.23,-0.978121311902149
2,8,0.3695,96.27,72.0,96.0,20.95,-1.0661360561449313
2,4,0.287,39.33,96.0,120.0,372.22,-1.61113250866212
2,6,0.5115,134.0,120.0,144.0,105.38,-1.2553715223331436
2,6,0.419,120.53,144.0,120.0,24.03,-0.8845598583345089
2,9,0.367,96.2,120.0,96.0,18.37,-1.143972957826994
3,8,0.1983333333333333,72.13,96.0,72.0,17.39,-1.4026349677480807
3,9,0.1596666666666666,48.13,72.0,48.0,16.68,-1.4984027352821876
2,8,0.097,24.0,48.0,24.0,15.53,-1.2746647363437817
2,5,0.1725,47.87,24.0,48.0,18.83,-1.4305119531465469
2,8,0.27,72.0,48.0,72.0,18.63,-1.1341889569409986
2,9,0.3565,96.27,72.0,96.0,19.46,-1.1503380212439143
1,4,0.4,35.2,96.0,120.0,426.19,-1.1108893003727827
3,5,0.3356666666666667,90.87,120.0,144.0,193.22,-1.6610218079040058
3,8,0.285,120.2,144.0,120.0,18.19,-1.3372922687162923
2,5,0.374,56.47,120.0,96.0,212.02,-1.441658830672862
3,8,0.1846666666666666,72.2,96.0,72.0,17.4,-1.4136006180262555
1,8,0.154,24.0,48.0,24.0,16.08,-1.0952426635208372
1,5,0.321,48.47,24.0,48.0,18.92,-0.7512799619599864
1,4,0.399,54.13,48.0,72.0,166.6,-1.1134343620965141
2,7,0.359,96.33,72.0,96.0,21.1,-1.0002538688294953
1,9,0.708,120.6,96.0,120.0,24.56,-0.8431673373094783
3,6,0.3543333333333333,144.33,120.0,144.0,22.75,-1.1446331044394393
3,5,0.3286666666666666,102.0,144.0,120.0,135.62,-1.5531400737844185
2,4,0.2895,38.93,120.0,96.0,315.41,-1.5500321050381005
1,9,0.413,72.0,96.0,72.0,15.74,-0.9872025616855342
1,8,0.272,48.13,72.0,48.0,15.4,-1.0029917931698562
2,5,0.111,24.0,48.0,24.0,20.4,-1.1050186342574106
2,8,0.2015,48.13,24.0,48.0,21.3,-1.1862086551530429
1,4,0.398,53.8,48.0,72.0,167.0,-1.1165427156501582
1,7,0.545,96.4,72.0,96.0,25.78,-0.7565693137335716
1,6,0.598,104.53,96.0,120.0,143.22,-1.1052224182058261
1,8,0.796,139.67,120.0,144.0,120.67,-1.1362681042148324
3,5,0.3433333333333333,107.73,144.0,120.0,116.01,-1.519254016645562
2,9,0.376,96.47,120.0,96.0,19.8,-1.1385759824700874
2,7,0.284,72.0,96.0,72.0,19.76,-1.0554770497553985
3,9,0.163,48.0,72.0,48.0,17.66,-1.495878086825507
1,9,0.167,24.13,48.0,24.0,17.77,-1.1492044598441902
1,5,0.336,48.13,24.0,48.0,22.36,-0.7385969675028408
1,6,0.443,72.0,48.0,72.0,37.15,-0.7389105014950681
1,8,0.537,96.27,72.0,96.0,25.03,-0.8393232442125678
1,8,0.684,120.8,96.0,120.0,35.18,-0.7693659639296533
3,5,0.3723333333333333,135.73,120.0,144.0,95.8,-1.4767090711988198
3,9,0.2976666666666667,120.0,144.0,120.0,17.04,-1.4013216305712253
2,8,0.3295,96.07,120.0,96.0,19.07,-1.0924810788526864
3,6,0.2343333333333333,72.27,96.0,72.0,20.91,-1.2446616017133447
2,4,0.334,21.87,72.0,48.0,271.89,-1.4729745253153876
1,5,0.206,24.0,48.0,24.0,19.91,-0.8622554890579499
3,7,0.1586666666666666,48.33,24.0,48.0,18.12,-1.3759614917334446
3,6,0.238,72.33,48.0,72.0,20.45,-1.2412996346152545
2,8,0.3135,96.33,72.0,96.0,17.97,-1.1033934938956411
1,8,0.721,119.87,96.0,120.0,35.89,-1.154124622756709
2,9,0.492,144.73,120.0,144.0,23.09,-1.0736370215788171
2,8,0.4565,120.27,144.0,120.0,22.43,-1.0131874583230123
1,6,0.598,65.53,120.0,96.0,183.63,-1.1996026937292052
3,8,0.1896666666666666,72.2,96.0,72.0,18.07,-1.4095670475672608
2,8,0.1655,48.27,72.0,48.0,18.4,-1.2153861900118965
1,7,0.293,48.0,24.0,48.0,18.45,-0.9187894013127298
2,8,0.314,72.0,48.0,72.0,18.81,-1.103049167042175
2,9,0.3725,96.27,72.0,96.0,19.91,-1.1406683955353325
2,5,0.3665,62.93,96.0,120.0,237.61,-1.4872774410909189
1,4,0.4,50.87,120.0,144.0,353.53,-1.0637194785800612
2,4,0.2815,52.27,144.0,120.0,286.61,-1.5365550785028075
3,9,0.2723333333333333,96.07,120.0,96.0,16.76,-1.418046137246383
2,6,0.2865,71.67,96.0,72.0,22.93,-1.386635524969468
1,8,0.293,48.4,72.0,48.0,16.91,-0.9879535440704135
2,5,0.1525,24.0,48.0,24.0,28.84,-1.0529972521383952
1,9,0.299,48.13,24.0,48.0,16.69,-1.0567980006677744
2,7,0.2804999999999999,72.47,48.0,72.0,18.67,-1.0582014596822455
3,7,0.2393333333333333,96.27,72.0,96.0,18.3,-1.3052014027118
2,5,0.4215,79.07,96.0,120.0,187.39,-1.3654712033365084
1,4,0.401,35.33,120.0,144.0,519.01,-1.150749348093467
1,9,0.745,121.0,144.0,120.0,24.49,-0.8282107201305557
1,8,0.624,96.2,120.0,96.0,20.47,-0.796377112025461
1,9,0.488,72.2,96.0,72.0,17.59,-0.9459955015403627
1,6,0.438,47.73,72.0,48.0,53.34,-1.1444281449910398
3,6,0.0986666666666666,24.0,48.0,24.0,20.53,-1.3846672923408714
2,4,0.2535,24.8,24.0,48.0,238.58,-1.511026892919864
3,7,0.221,72.67,48.0,72.0,20.45,-1.3205748542103821
3,5,0.3389999999999999,97.87,72.0,96.0,59.61,-1.079762074295
3,4,0.2709999999999999,64.93,96.0,120.0,228.06,-1.6907725775516576
2,8,0.5135000000000001,144.47,120.0,144.0,19.92,-0.9814916789468033
3,6,0.322,120.33,144.0,120.0,20.52,-1.1696477479985
2,7,0.3535,96.53,120.0,96.0,22.7,-1.0041056058961897
3,7,0.1873333333333333,72.27,96.0,72.0,18.4,-1.349876394392726
2,4,0.2045,47.07,72.0,48.0,51.8,-1.3266529493212371
3,5,0.1343333333333333,24.0,48.0,24.0,19.83,-1.2891514096539787
3,4,0.186,47.87,24.0,48.0,27.26,-1.556975506345668
2,8,0.294,72.13,48.0,72.0,19.33,-1.1169914904307423
2,4,0.2795,23.73,72.0,96.0,511.2,-1.6843929693442918
3,7,0.3229999999999999,120.4,96.0,120.0,22.34,-1.2399353979321184
2,9,0.4865,144.6,120.0,144.0,22.54,-1.076530693476622
2,6,0.5035,119.53,144.0,120.0,58.84,-1.2328433577823885
3,7,0.2526666666666666,96.73,120.0,96.0,18.25,-1.2942709157852603
3,6,0.2533333333333333,71.8,96.0,72.0,19.34,-1.6285737392928064
2,7,0.2115,48.0,72.0,48.0,20.25,-1.114788777141622
2,5,0.1525,24.27,48.0,24.0,18.04,-1.0529972521383952
1,6,0.353,48.13,24.0,48.0,24.12,-0.8019818423802292
1,6,0.463,72.47,48.0,72.0,40.81,-0.7261336968634551
2,6,0.411,96.2,72.0,96.0,34.77,-0.8900045171912516
1,4,0.398,38.47,96.0,120.0,393.96,-1.3905946750166371
1,5,0.499,67.13,120.0,144.0,268.74,-1.3049140506772576
2,4,0.311,41.87,144.0,120.0,354.34,-1.5715495934335193
2,4,0.3325,78.2,120.0,96.0,144.01,-1.2663796126449973
2,7,0.2795,72.0,96.0,72.0,23.06,-1.0589823678059593
2,4,0.299,36.4,72.0,48.0,163.06,-1.3252641389732764
2,9,0.148,24.0,48.0,24.0,22.59,-1.2934008938708654
2,8,0.2075,48.4,24.0,48.0,17.96,-1.1814721120808602
3,9,0.1973333333333333,72.4,48.0,72.0,17.24,-1.4704111793911117
3,5,0.3316666666666666,97.0,72.0,96.0,31.5,-1.0858783100660703
3,5,0.3026666666666667,120.47,96.0,120.0,24.09,-1.110963485101996
2,4,0.3135,38.87,120.0,144.0,461.88,-1.6322575794253151
2,7,0.449,119.4,144.0,120.0,36.73,-1.3433461214215725
2,7,0.3475,96.0,120.0,96.0,19.88,-1.0083421606647143
1,6,0.427,72.27,96.0,72.0,34.82,-0.7494430589633132
3,4,0.212,47.8,72.0,48.0,38.78,-1.5253249012635348
3,8,0.1073333333333333,24.0,48.0,24.0,17.62,-1.4793062833208865
2,4,0.206,48.2,24.0,48.0,30.92,-0.9169967567932944
3,6,0.213,72.13,48.0,72.0,19.32,-1.264634944237513
1,8,0.684,96.07,72.0,96.0,35.46,-0.7693659639296533
1,8,0.799,122.27,96.0,120.0,69.02,-0.7229293273219335
1,5,0.499,38.0,120.0,144.0,483.4,-1.4578609764372532
3,4,0.296,76.6,144.0,120.0,186.34,-1.6070236986248099
3,9,0.2386666666666666,96.0,120.0,96.0,17.28,-1.4410132969056533
2,7,0.2605,72.2,96.0,72.0,17.53,-1.074033564914923
1,8,0.342,48.27,72.0,48.0,21.02,-0.9543620677006257
2,5,0.15,24.0,48.0,24.0,23.65,-1.0560103421971856
2,7,0.2115,48.47,24.0,48.0,20.08,-1.114788777141622
2,4,0.292,34.6,48.0,72.0,261.31,-1.4951706702660505
2,5,0.3775,45.07,72.0,96.0,268.43,-1.5150979971060419
3,4,0.3116666666666667,76.47,96.0,120.0,195.24,-1.592701631965903
2,9,0.588,144.47,120.0,144.0,25.48,-1.0258759965021806
1,8,0.798,118.87,144.0,120.0,98.63,-1.1270896229133356
1,8,0.47,72.13,96.0,72.0,18.98,-0.8757309555415487
3,9,0.154,48.0,72.0,48.0,17.51,-1.5027161555682875
1,5,0.213,24.07,48.0,24.0,21.22,-0.854746561212899
2,4,0.2375,48.33,24.0,48.0,29.95,-0.8800975941400626
2,4,0.2595,72.2,48.0,72.0,22.87,-0.8559970017813061
2,6,0.3535,96.6,72.0,96.0,20.52,-0.9313489208880821
2,6,0.39,120.13,96.0,120.0,26.93,-0.9046469884821298
1,7,0.698,104.4,120.0,144.0,170.93,-1.2096825185000526
2,9,0.3994999999999999,120.33,144.0,120.0,18.51,-1.1247357021142494
2,5,0.338,96.2,120.0,96.0,34.26,-0.8666787220918866
1,6,0.483,72.2,96.0,72.0,40.28,-0.7137757657110462
3,8,0.1493333333333333,48.33,72.0,48.0,16.99,-1.442834513210249
2,6,0.144,24.13,48.0,24.0,17.45,-1.1204095900531983
1,9,0.312,48.27,24.0,48.0,19.92,-1.0484091684973915
3,7,0.178,72.07,48.0,72.0,16.84,-1.3582522177782161
2,5,0.344,95.33,72.0,96.0,34.65,-1.264532301854164
1,4,0.4,41.4,96.0,120.0,363.66,-1.070057006950545
3,5,0.3693333333333333,144.2,120.0,144.0,48.05,-1.0553947855440087
1,4,0.399,34.4,144.0,120.0,440.99,-1.417063682987971
1,4,0.399,54.33,120.0,96.0,221.42,-1.2181567635028676
3,6,0.2243333333333333,72.0,96.0,72.0,21.32,-1.253935717437727
3,9,0.1463333333333333,48.0,72.0,48.0,17.15,-1.5085953562270813
3,5,0.1293333333333333,24.13,48.0,24.0,19.41,-1.2954162292265603
2,7,0.207,48.27,24.0,48.0,18.45,-1.1186766130726522
2,4,0.289,71.87,48.0,72.0,46.92,-1.2264151426032317
2,7,0.3269999999999999,96.8,72.0,96.0,24.37,-1.0230941367656974
3,5,0.322,120.4,96.0,120.0,23.08,-1.0940789059869795
3,8,0.334,144.93,120.0,144.0,20.38,-1.3033631923963842
1,7,0.701,102.93,144.0,120.0,144.41,-0.8433578115271154
1,5,0.498,67.93,120.0,96.0,175.76,-1.159196041997031
1,6,0.529,74.33,96.0,72.0,44.5,-0.6868682463416189
1,9,0.338,48.0,72.0,48.0,19.63,-1.031990682226186
1,7,0.173,24.0,48.0,24.0,15.57,-1.0191290511811515
2,4,0.204,47.87,24.0,48.0,24.6,-1.3205237881042347
2,6,0.2565,72.13,48.0,72.0,20.06,-1.0107346987555317
3,4,0.313,95.93,72.0,96.0,53.69,-1.4168377008581612
2,8,0.4085,120.87,96.0,120.0,19.68,-1.0416872493082505
1,8,0.798,110.67,120.0,144.0,161.85,-1.2274795859860377
2,7,0.4805,120.47,144.0,120.0,30.29,-0.9224470927432264
1,9,0.708,96.87,120.0,96.0,24.88,-0.8431673373094783
3,4,0.2229999999999999,72.27,96.0,72.0,24.77,-1.1106345185359219
3,9,0.154,48.27,72.0,48.0,16.41,-1.5027161555682875
3,8,0.0973333333333333,24.0,48.0,24.0,17.76,-1.4882759245967083
1,5,0.294,48.4,24.0,48.0,17.54,-0.7750906067146404
1,9,0.459,72.0,48.0,72.0,19.12,-0.9615230488325182
1,7,0.677,96.33,72.0,96.0,42.89,-0.6922327499521117
2,9,0.4185,120.2,96.0,120.0,19.98,-1.1138069096621936
3,8,0.338,144.33,120.0,144.0,18.34,-1.3006841319595732
1,7,0.701,96.53,144.0,120.0,154.34,-0.8686197677872167
1,7,0.649,96.73,120.0,96.0,38.4,-0.7048849416690615
3,5,0.1956666666666666,71.33,96.0,72.0,19.58,-1.6209301533265439
2,7,0.1825,48.07,72.0,48.0,17.66,-1.1402878198536095
1,4,0.227,24.0,48.0,24.0,22.15,-0.7623316425878075
1,7,0.34,48.0,24.0,48.0,26.86,-0.8839449218105844
2,8,0.26,72.0,48.0,72.0,18.77,-1.1415082397802265
3,4,0.34,111.6,96.0,120.0,96.47,-1.4212099110119805
1,9,0.895,136.0,120.0,144.0,124.15,-1.1963507735654675
3,9,0.326,120.2,144.0,120.0,18.02,-1.3831658955036317
3,7,0.2496666666666666,96.47,120.0,96.0,19.2,-1.2967121547180462
1,4,0.399,52.67,96.0,72.0,170.95,-1.1239366796881187
2,8,0.2415,48.0,72.0,48.0,17.38,-1.1552924846089663
2,8,0.1105,24.13,48.0,24.0,17.72,-1.2625770799684815
3,4,0.1746666666666666,48.33,24.0,48.0,24.82,-1.1706117093131256
3,4,0.182,72.73,48.0,72.0,30.02,-1.1610388804047398
2,8,0.354,96.47,72.0,96.0,23.58,-1.0761887325914912
2,6,0.399,122.67,96.0,120.0,40.68,-0.8983088394708929
1,5,0.497,62.53,120.0,144.0,287.16,-1.3282626924122065
3,6,0.306,121.8,144.0,120.0,23.87,-1.1825337014425497
3,6,0.2293333333333333,96.4,120.0,96.0,16.23,-1.249279338612921
1,9,0.542,72.4,96.0,72.0,19.58,-0.9183821465770847
2,6,0.151,24.2,48.0,24.0,17.49,-1.112969110473147
3,9,0.1533333333333333,48.4,24.0,48.0,17.37,-1.5032254046054092
2,8,0.2855,72.47,48.0,72.0,16.68,-1.1230233425493317
3,9,0.2546666666666666,96.6,72.0,96.0,20.31,-1.4299910516333765
1,4,0.398,31.33,96.0,120.0,475.25,-1.438970494273188
3,9,0.337,144.13,120.0,144.0,19.78,-1.3762697966025068
1,5,0.499,61.93,144.0,120.0,244.42,-1.2717076679979757
1,8,0.623,96.0,120.0,96.0,36.14,-0.7968446829703904
3,8,0.1996666666666666,72.2,96.0,72.0,17.56,-1.4015751436648014
1,8,0.351,48.07,72.0,48.0,17.27,-0.948412755610573
2,7,0.114,24.0,48.0,24.0,15.93,-1.204883603473087
2,6,0.1865,48.0,24.0,48.0,17.95,-1.0765431626147914
3,4,0.2293333333333333,72.67,48.0,72.0,35.29,-1.1032989244842155
2,8,0.4085,96.2,72.0,96.0,19.98,-1.0416872493082505
2,9,0.4535,120.6,96.0,120.0,19.32,-1.0942690453579142
2,9,0.4365,144.27,120.0,144.0,20.21,-1.103663987525189
3,8,0.3056666666666667,120.67,144.0,120.0,17.44,-1.3227282504684084
2,6,0.3415,96.33,120.0,96.0,22.4,-0.9404884555250064
3,9,0.19,72.07,96.0,72.0,17.69,-1.4757694188243686
2,4,0.242,48.13,72.0,48.0,44.27,-0.8750595114163
3,7,0.1073333333333333,24.0,48.0,24.0,19.08,-1.4254265495390799
1,8,0.353,48.33,24.0,48.0,18.1,-0.9470997508934227
3,5,0.2036666666666666,72.0,48.0,72.0,21.33,-1.2084382828254006
2,5,0.3289999999999999,96.0,72.0,96.0,17.87,-0.8742126192102735
2,4,0.3875,66.53,96.0,120.0,224.4,-1.3638273671357994
2,8,0.5515,144.2,120.0,144.0,27.69,-0.9615816033426619
2,6,0.3965,120.13,144.0,120.0,21.95,-0.9000599104836533
3,6,0.2463333333333333,96.0,120.0,96.0,19.25,-1.2337347788419115
2,4,0.356,65.73,96.0,72.0,114.81,-1.201022566437844
1,6,0.357,48.13,72.0,48.0,18.47,-0.7989732197811572
3,6,0.0896666666666666,24.0,48.0,24.0,17.59,-1.3951229405127665
3,7,0.1683333333333333,48.0,24.0,48.0,19.04,-1.3670457165673464
1,5,0.499,70.67,48.0,72.0,89.41,-1.0301983413152995
2,4,0.369,89.2,72.0,96.0,115.36,-1.1832797049869366
2,6,0.4275,120.07,96.0,120.0,25.36,-0.8788539015531134
1,6,0.599,84.4,120.0,144.0,211.56,-1.2547585702875403
1,7,0.696,103.53,144.0,120.0,144.13,-1.1427770296148672
2,7,0.3535,96.33,120.0,96.0,20.54,-1.0041056058961897
3,8,0.1983333333333333,72.67,96.0,72.0,17.76,-1.4026349677480807
3,6,0.162,48.13,72.0,48.0,22.21,-1.3153630177581728
2,6,0.097,24.0,48.0,24.0,15.95,-1.172679598067024
3,8,0.135,48.53,24.0,48.0,19.31,-1.4550666128685164
2,5,0.292,72.13,48.0,72.0,44.63,-0.9066502906172134
3,5,0.2306666666666666,96.33,72.0,96.0,17.47,-1.1799127548169288
2,6,0.3765,120.67,96.0,120.0,21.23,-0.9143342676470987
2,7,0.538,146.87,120.0,144.0,33.22,-0.8900759226314277
3,4,0.2943333333333333,78.87,144.0,120.0,182.26,-1.5978865419252575
2,8,0.299,96.67,120.0,96.0,17.18,-1.1134731645056255
3,7,0.2056666666666666,72.0,96.0,72.0,17.69,-1.3337454840053338
2,7,0.1875,48.2,72.0,48.0,17.91,-1.1358157271581157
