replica,cpu,cpu_usage,num_request,previous_tps,expected_tps,response_time,processed_rate,load_change_rate,reward
3.0,5.0,0.344,126.13,120.0,128.0,47.0,0.985,0.938,-1.0627515642067005
1.0,5.0,0.498,70.2,128.0,88.0,156.0,0.798,1.455,-1.9809858673557845
3.0,4.0,0.233,59.07,88.0,88.0,183.0,0.671,1.0,-2.407602289375163
2.0,7.0,0.556,130.53,88.0,160.0,136.0,0.816,0.55,-2.0400752175314767
3.0,8.0,0.354,144.47,160.0,144.0,20.0,1.0,1.111,-0.7323654863386738
1.0,8.0,0.794,147.4,144.0,152.0,124.0,0.97,0.947,-1.8289977984128165
1.0,6.0,0.598,98.07,152.0,160.0,204.0,0.613,0.95,-2.259521385620403
3.0,6.0,0.397,141.2,160.0,208.0,178.0,0.679,0.769,-2.3884368455469294
1.0,8.0,0.789,128.13,208.0,128.0,58.0,1.0,1.625,-1.0654004281186655
1.0,8.0,0.564,96.2,128.0,96.0,22.0,1.0,1.333,-0.4799023181618788
2.0,9.0,0.48,128.27,96.0,128.0,23.0,1.0,0.75,-0.6197201701386282
2.0,6.0,0.458,109.53,128.0,112.0,75.0,0.978,1.143,-1.693587379108235
2.0,7.0,0.37,112.47,112.0,112.0,20.0,1.0,1.0,-0.5764343736160454
1.0,4.0,0.399,33.07,112.0,144.0,550.0,0.23,0.778,-3.3285191882651497
1.0,4.0,0.399,65.6,144.0,136.0,259.0,0.482,1.059,-2.4820612913042868
3.0,8.0,0.311,136.4,136.0,136.0,21.0,1.0,1.0,-0.7516519045638141
1.0,4.0,0.4,32.73,136.0,144.0,542.0,0.227,0.944,-3.115675741995616
2.0,9.0,0.538,145.47,144.0,144.0,24.0,1.0,1.0,-0.5998149284697349
2.0,7.0,0.518,127.8,144.0,128.0,52.0,0.998,1.125,-1.5828116550016904
2.0,7.0,0.516,153.0,128.0,152.0,26.0,1.0,0.842,-0.5161062470568207
1.0,7.0,0.698,109.8,152.0,248.0,283.0,0.443,0.613,-2.616110811620595
1.0,7.0,0.696,90.73,248.0,216.0,298.0,0.42,1.148,-2.6723576929006225
3.0,5.0,0.443,168.87,216.0,232.0,164.0,0.728,0.931,-2.243059340241956
1.0,9.0,0.903,154.73,232.0,216.0,175.0,0.716,1.074,-1.9649200452197697
2.0,9.0,0.526,153.47,216.0,152.0,20.0,1.0,1.421,-0.6038286767955017
1.0,7.0,0.7,128.2,152.0,152.0,148.0,0.843,1.0,-1.7578634780023785
3.0,8.0,0.303,120.47,152.0,120.0,20.0,1.0,1.267,-0.7553558602288263
2.0,9.0,0.516,152.53,120.0,152.0,21.0,1.0,0.789,-0.607214591021236
3.0,7.0,0.345,145.93,152.0,144.0,22.0,1.0,1.056,-0.6950421250136876
1.0,8.0,0.796,144.87,144.0,144.0,59.0,1.0,1.0,-1.0692250664320972
1.0,8.0,0.747,138.27,144.0,136.0,44.0,1.0,1.059,-0.4249758078706538
1.0,7.0,0.696,110.4,136.0,144.0,162.0,0.767,0.944,-2.0490941947555847
2.0,5.0,0.368,120.73,144.0,120.0,26.0,1.0,1.2,-0.4863679042382002
3.0,4.0,0.267,63.0,120.0,120.0,228.0,0.525,1.0,-2.6157542523688564
2.0,8.0,0.595,152.4,120.0,152.0,37.0,1.0,0.789,-0.5345643147931014
3.0,7.0,0.435,185.2,152.0,184.0,24.0,1.0,0.826,-0.6549735434386634
3.0,4.0,0.28,73.2,184.0,216.0,368.0,0.339,0.852,-3.1041170708092576
1.0,4.0,0.397,46.4,216.0,232.0,636.0,0.2,0.931,-3.509908464081626
3.0,7.0,0.53,235.27,232.0,240.0,67.0,0.98,0.967,-1.7769368285923504
2.0,8.0,0.552,152.8,240.0,152.0,28.0,1.0,1.579,-0.5488341963210718
2.0,5.0,0.375,66.87,152.0,120.0,225.0,0.557,1.267,-2.4662950354860524
1.0,8.0,0.798,153.73,120.0,168.0,136.0,0.915,0.714,-1.8990788510716172
1.0,6.0,0.598,104.73,168.0,144.0,172.0,0.727,1.167,-2.088017871203746
1.0,6.0,0.599,109.47,144.0,136.0,155.0,0.805,1.059,-1.9866580892768817
2.0,9.0,0.408,136.27,136.0,136.0,17.0,1.0,1.0,-0.6462832437531826
2.0,9.0,0.412,144.73,136.0,144.0,21.0,1.0,0.944,-0.6447511086853203
1.0,7.0,0.663,113.33,144.0,112.0,73.0,1.0,1.286,-1.1327049347792484
2.0,5.0,0.366,67.13,112.0,112.0,210.0,0.599,1.0,-2.3985568011137417
3.0,7.0,0.351,151.6,112.0,152.0,24.0,0.997,0.737,-1.1433936101375897
3.0,4.0,0.274,85.33,152.0,152.0,221.0,0.561,1.0,-2.56508390979769
3.0,9.0,0.379,152.93,152.0,152.0,21.0,1.0,1.0,-0.7645532834067441
1.0,7.0,0.699,109.2,152.0,152.0,174.0,0.718,1.0,-2.11592006116384
1.0,5.0,0.499,38.27,152.0,144.0,471.0,0.266,1.056,-3.1553738425951914
3.0,9.0,0.286,120.2,144.0,120.0,18.0,1.0,1.2,-0.8033960751839262
1.0,7.0,0.681,113.33,120.0,112.0,58.0,1.0,1.071,-1.0479632445264886
2.0,5.0,0.202,40.2,112.0,40.0,25.0,1.0,2.8,-0.5889112415225887
2.0,9.0,0.148,32.27,40.0,32.0,19.0,1.0,1.25,-0.7620051897495886
3.0,5.0,0.183,48.0,32.0,48.0,24.0,1.0,0.667,-0.709925533256698
2.0,8.0,0.202,48.13,48.0,48.0,20.0,1.0,1.0,-0.6984919988319599
3.0,9.0,0.173,56.33,48.0,56.0,18.0,1.0,0.857,-0.8563259106440453
1.0,5.0,0.311,48.13,56.0,48.0,21.0,1.0,1.167,-0.4529427264831678
3.0,4.0,0.184,39.73,48.0,40.0,36.0,0.993,1.2,-1.1180773299503686
3.0,7.0,0.138,32.2,40.0,32.0,19.0,1.0,1.25,-0.8093158647369445
1.0,9.0,0.387,64.6,32.0,64.0,18.0,1.0,0.5,-0.5895675017096993
1.0,9.0,0.39,64.53,64.0,64.0,17.0,1.0,1.0,-0.588390619568684
2.0,5.0,0.304,63.93,64.0,64.0,45.0,0.999,1.0,-0.9724223766448064
1.0,6.0,0.427,64.6,64.0,64.0,29.0,1.0,1.0,-0.441431627681521
2.0,8.0,0.29,72.33,64.0,72.0,21.0,1.0,0.889,-0.6544982932293902
2.0,9.0,0.282,64.13,72.0,64.0,20.0,1.0,1.125,-0.6982023942329069
3.0,7.0,0.161,48.07,64.0,48.0,20.0,1.0,1.333,-0.7948873736224131
1.0,7.0,0.203,32.07,48.0,32.0,20.0,1.0,1.5,-0.5979041917488755
1.0,8.0,0.44,80.07,32.0,80.0,23.0,1.0,0.4,-0.5249394835226572
3.0,7.0,0.188,64.0,80.0,64.0,19.0,1.0,1.25,-0.778543548261446
3.0,5.0,0.204,63.87,64.0,64.0,23.0,0.998,1.0,-1.1453332000211929
3.0,4.0,0.249,55.2,64.0,56.0,87.0,0.986,1.143,-1.8677726580277243
2.0,7.0,0.248,56.27,56.0,56.0,20.0,1.0,1.0,-0.637447854072641
3.0,6.0,0.186,48.2,56.0,48.0,20.0,1.0,1.167,-0.7451625243765845
2.0,9.0,0.196,40.0,48.0,40.0,20.0,1.0,1.2,-0.7380512928903917
3.0,8.0,0.184,64.47,40.0,64.0,19.0,1.0,0.625,-0.8150584800275109
2.0,7.0,0.244,56.0,64.0,56.0,22.0,1.0,1.143,-0.6396339213849577
3.0,7.0,0.161,56.0,56.0,56.0,19.0,1.0,1.0,-0.7948873736224131
3.0,8.0,0.162,56.33,56.0,56.0,19.0,1.0,1.0,-0.8271020343094437
1.0,7.0,0.435,56.13,56.0,56.0,19.0,1.0,1.0,-0.4831453605927589
3.0,4.0,0.202,48.4,56.0,48.0,37.0,1.0,1.167,-0.6499278306573133
1.0,8.0,0.313,48.2,48.0,48.0,19.0,1.0,1.0,-0.5789035057788793
1.0,6.0,0.598,76.93,48.0,96.0,154.0,0.801,0.5,-1.9855089799666525
3.0,4.0,0.228,63.47,96.0,64.0,63.0,0.992,1.5,-1.7618712956522744
2.0,7.0,0.27,64.27,64.0,64.0,20.0,1.0,1.0,-0.6256452446918935
3.0,4.0,0.238,63.8,64.0,64.0,44.0,0.997,1.0,-1.0730971324134906
2.0,5.0,0.236,72.33,64.0,72.0,24.0,1.0,0.889,-0.5650498328983854
1.0,6.0,0.481,80.2,72.0,80.0,35.0,1.0,0.9,-0.41846499135151183
2.0,4.0,0.347,98.93,80.0,104.0,85.0,0.951,0.769,-1.704209128093117
3.0,8.0,0.241,96.0,104.0,96.0,18.0,1.0,1.083,-0.7853526471055534
1.0,4.0,0.399,50.8,96.0,112.0,276.0,0.454,0.857,-2.54856579155932
2.0,9.0,0.516,136.13,112.0,136.0,22.0,1.0,0.824,-0.607214591021236
2.0,8.0,0.31,80.0,136.0,80.0,19.0,1.0,1.7,-0.6451568201791362
2.0,5.0,0.364,56.0,80.0,72.0,149.0,0.778,1.111,-2.0944318733130216
3.0,8.0,0.244,88.8,72.0,88.0,23.0,1.0,0.818,-0.783847044058763
2.0,4.0,0.299,40.13,88.0,96.0,304.0,0.418,0.917,-2.768844022370192
2.0,7.0,0.334,104.13,96.0,104.0,18.0,1.0,0.923,-0.5933461300787155
1.0,4.0,0.398,38.67,104.0,144.0,470.0,0.269,0.722,-3.140332868130077
2.0,5.0,0.434,135.13,144.0,136.0,76.0,0.994,1.059,-1.6526590912644812
2.0,6.0,0.443,84.27,136.0,176.0,265.0,0.479,0.773,-2.6493770630746125
1.0,9.0,0.618,112.33,176.0,112.0,21.0,1.0,1.571,-0.5095095809269139
3.0,7.0,0.333,128.4,112.0,128.0,20.0,1.0,0.875,-0.70078448464742
3.0,7.0,0.265,104.33,128.0,104.0,21.0,1.0,1.231,-0.7352512330861569
2.0,7.0,0.394,112.67,104.0,112.0,20.0,1.0,0.929,-0.565633515833885
1.0,4.0,0.401,55.6,112.0,88.0,195.0,0.632,1.273,-1.9946171162577964
1.0,4.0,0.399,61.73,88.0,88.0,179.0,0.701,1.0,-2.101314125312444
3.0,9.0,0.284,112.53,88.0,112.0,18.0,1.0,0.786,-0.8042762834996402
2.0,8.0,0.39,104.13,112.0,104.0,18.0,1.0,1.077,-0.6100410997561648
1.0,4.0,0.399,56.67,104.0,104.0,228.0,0.545,1.0,-2.3512764426624257
2.0,7.0,0.428,120.8,104.0,120.0,24.0,1.0,0.867,-0.5509525326346965
3.0,7.0,0.3,128.67,120.0,128.0,21.0,1.0,0.938,-0.717093113352461
2.0,8.0,0.34,88.0,128.0,88.0,19.0,1.0,1.455,-0.6315752788774439
1.0,9.0,0.509,88.33,88.0,88.0,22.0,1.0,1.0,-0.5447350883263301
2.0,8.0,0.472,161.07,88.0,160.0,19.0,1.0,0.55,-0.577512730517207
3.0,6.0,0.364,146.07,160.0,144.0,22.0,1.0,1.111,-0.6428018732818097
2.0,9.0,0.509,152.47,144.0,152.0,22.0,1.0,0.947,-0.609607215396343
1.0,6.0,0.6,98.67,152.0,160.0,202.0,0.617,0.95,-2.0503696661908637
1.0,9.0,0.897,166.13,160.0,208.0,156.0,0.799,0.769,-2.0551591495800903
3.0,6.0,0.404,128.53,208.0,128.0,26.0,1.0,1.625,-0.6236872751394098
3.0,7.0,0.248,96.27,128.0,96.0,19.0,1.0,1.333,-0.7444039098485328
1.0,7.0,0.688,126.47,96.0,128.0,90.0,0.988,0.75,-1.6613557592262387
1.0,4.0,0.399,57.67,128.0,112.0,243.0,0.515,1.143,-2.4146787471035496
2.0,6.0,0.426,113.87,112.0,112.0,38.0,1.0,1.0,-0.5067488595571707
3.0,9.0,0.349,144.93,112.0,144.0,19.0,1.0,0.778,-0.7766474330643658
2.0,6.0,0.464,105.13,144.0,136.0,158.0,0.773,1.059,-2.1300686521121954
3.0,7.0,0.343,136.27,136.0,136.0,20.0,1.0,1.0,-0.6959923618546073
2.0,6.0,0.478,138.67,136.0,144.0,94.0,0.963,0.944,-1.7807431742532018
3.0,7.0,0.355,144.27,144.0,144.0,21.0,1.0,1.0,-0.6903314527551887
3.0,7.0,0.292,128.2,144.0,128.0,22.0,1.0,1.125,-0.7211638617845553
1.0,8.0,0.8,144.4,128.0,152.0,128.0,0.95,0.842,-1.6519768273464235
3.0,9.0,0.568,249.0,152.0,248.0,22.0,1.0,0.613,-0.6969676570647527
1.0,6.0,0.6,67.0,248.0,216.0,405.0,0.31,1.148,-2.7927953648390527
2.0,6.0,0.512,130.47,216.0,232.0,222.0,0.562,0.931,-2.4424444100249243
